komentar,label,komentar_cleaned_p1,tokenized_text_p2,text_slang_p2,text_slang_str_p2,text_stopword_p2,text_stemmed_p2
"Sumpah, awalnya gue kira itu nama pantai baru, ternyata P͓̽U͓̽L͓̽A͓̽U͓̽W͓̽I͓̽N͓̽.",1,sumpah awalnya gue kira itu nama pantai baru ternyata pulauwin,"['sumpah', 'awalnya', 'gue', 'kira', 'itu', 'nama', 'pantai', 'baru', 'ternyata', 'pulauwin']","['sumpah', 'awalnya', 'saya', 'kira', 'itu', 'nama', 'pantai', 'baru', 'ternyata', 'pulauwin']",sumpah awalnya saya kira itu nama pantai baru ternyata pulauwin,sumpah nama pantai pulauwin,sumpah nama pantai pulauwin
"ki daus , daus",1,ki daus daus,"['ki', 'daus', 'daus']","['ki', 'daus', 'daus']",ki daus daus,ki daus daus,ki daus daus
Ooooo..... Numpang Jumbo ternyata,0,ooooo numpang jumbo ternyata,"['ooooo', 'numpang', 'jumbo', 'ternyata']","['ooooo', 'numpang', 'jumbo', 'ternyata']",ooooo numpang jumbo ternyata,ooooo numpang jumbo,ooooo numpang jumbo
Ini baru top...narsum tanpa kepentingan diri,0,ini baru top narsum tanpa kepentingan diri,"['ini', 'baru', 'top', 'narsum', 'tanpa', 'kepentingan', 'diri']","['ini', 'baru', 'top', 'narsum', 'tanpa', 'kepentingan', 'diri']",ini baru top narsum tanpa kepentingan diri,top narsum kepentingan,top narsum penting
emang gak se-hits alexis17 sih .,1,emang gak se hits alexis17 sih,"['emang', 'gak', 'se', 'hits', 'alexis17', 'sih']","['emang', 'tidak', 'se', 'hits', 'alexis17', 'sih']",emang tidak se hits alexis17 sih,emang hits alexis17 sih,emang hits alexis17 sih
"""50 juta aja"" bukan buat kaum mendang mending ya 😅",0,5o juta aja bukan buat kaum mendang mending ya,"['5o', 'juta', 'aja', 'bukan', 'buat', 'kaum', 'mendang', 'mending', 'ya']","['5o', 'juta', 'aja', 'bukan', 'buat', 'kaum', 'mendang', 'mending', 'ya']",5o juta aja bukan buat kaum mendang mending ya,5o juta aja kaum mendang mending ya,5o juta aja kaum dang mending ya
MasyaAllah barakalloh jogja kelahiranku,0,masyaallah barakalloh jogja kelahiranku,"['masyaallah', 'barakalloh', 'jogja', 'kelahiranku']","['masyaallah', 'barakalloh', 'jogja', 'kelahiranku']",masyaallah barakalloh jogja kelahiranku,masyaallah barakalloh jogja kelahiranku,masyaallah barakalloh jogja lahir
"main situs segacor 𝐒𝐆𝐈𝟖𝟖 , asli nagih sih",1,main situs segacor sgi88 asli nagih sih,"['main', 'situs', 'segacor', 'sgi88', 'asli', 'nagih', 'sih']","['main', 'situs', 'segacor', 'sgi88', 'asli', 'nagih', 'sih']",main situs segacor sgi88 asli nagih sih,main situs segacor sgi88 asli nagih sih,main situs segacor sgi88 asli nagih sih
YANTOOO,0,yantooo,['yantooo'],['yantooo'],yantooo,yantooo,yantooo
​ @Frank-o8h jelek juga lu gak mampu😂😂,0,frank o8h jelek juga lu gak mampu,"['frank', 'o8h', 'jelek', 'juga', 'lu', 'gak', 'mampu']","['frank', 'o8h', 'jelek', 'juga', 'kamu', 'tidak', 'mampu']",frank o8h jelek juga kamu tidak mampu,frank o8h jelek,frank o8h jelek
"pokoknya kalo butuh cepet , 𝘼𝙇𝙀𝙓𝙄𝙎17 solusinya . parah .",1,pokoknya kalo butuh cepet alexis17 solusinya parah,"['pokoknya', 'kalo', 'butuh', 'cepet', 'alexis17', 'solusinya', 'parah']","['pokoknya', 'kalo', 'butuh', 'cepet', 'alexis17', 'solusinya', 'parah']",pokoknya kalo butuh cepet alexis17 solusinya parah,pokoknya kalo butuh cepet alexis17 solusinya parah,pokok kalo butuh cepet alexis17 solusi parah
Aku malah 2.5,0,aku malah 2 5,"['aku', 'malah', '2', '5']","['aku', 'malah', '2', '5']",aku malah 2 5,2 5,2 5
google klik link S͓̽U͓̽G͓̽E͓̽S͓̽4͓̽D͓̽,1,google klik link suges4d,"['google', 'klik', 'link', 'suges4d']","['google', 'klik', 'link', 'suges4d']",google klik link suges4d,google klik link suges4d,google klik link suges4d
technology huawei memang ngga ada obat🎉,0,technology huawei memang ngga ada obat,"['technology', 'huawei', 'memang', 'ngga', 'ada', 'obat']","['technology', 'huawei', 'memang', 'tidak', 'ada', 'obat']",technology huawei memang tidak ada obat,technology huawei obat,technology huawei obat
drone kecepeten ya ampun,0,drone kecepeten ya ampun,"['drone', 'kecepeten', 'ya', 'ampun']","['drone', 'kecepeten', 'ya', 'ampun']",drone kecepeten ya ampun,drone kecepeten ya ampun,drone kecepeten ya ampun
"Avatar The Way of Water , 3jam bro jelas arah nya",0,avatar the way of water 3jam bro jelas arah nya,"['avatar', 'the', 'way', 'of', 'water', '3jam', 'bro', 'jelas', 'arah', 'nya']","['avatar', 'the', 'way', 'of', 'water', '3jam', 'bro', 'jelas', 'arah', 'nya']",avatar the way of water 3jam bro jelas arah nya,avatar way water 3jam bro arah nya,avatar way water 3jam bro arah nya
Jangan tunggu lama! Modal kecil bisa jadi besar bareng M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳.,1,jangan tunggu lama modal kecil bisa jadi besar bareng mandalika77,"['jangan', 'tunggu', 'lama', 'modal', 'kecil', 'bisa', 'jadi', 'besar', 'bareng', 'mandalika77']","['jangan', 'tunggu', 'lama', 'modal', 'kecil', 'bisa', 'jadi', 'besar', 'bareng', 'mandalika77']",jangan tunggu lama modal kecil bisa jadi besar bareng mandalika77,tunggu modal bareng mandalika77,tunggu modal bareng mandalika77
Wowo jawaban mu tidurku jadi nyenyak 😂,0,wowo jawaban mu tidurku jadi nyenyak,"['wowo', 'jawaban', 'mu', 'tidurku', 'jadi', 'nyenyak']","['wowo', 'jawaban', 'mu', 'tidurku', 'jadi', 'nyenyak']",wowo jawaban mu tidurku jadi nyenyak,wowo mu tidurku nyenyak,wowo mu tidur nyenyak
20 menit langsung SKAKMAT!!!,0,2o menit langsung skakmat,"['2o', 'menit', 'langsung', 'skakmat']","['2o', 'menit', 'langsung', 'skakmat']",2o menit langsung skakmat,2o menit langsung skakmat,2o menit langsung skakmat
"hiburan bikin relax , gue ｐｕｌａｕｗｉｎ .",1,hiburan bikin relax gue pulauwin,"['hiburan', 'bikin', 'relax', 'gue', 'pulauwin']","['hiburan', 'bikin', 'relax', 'saya', 'pulauwin']",hiburan bikin relax saya pulauwin,hiburan bikin relax pulauwin,hibur bikin relax pulauwin
mantap ga sih ini paling bocor maen dipulau77,1,mantap ga sih ini paling bocor maen dipulau77,"['mantap', 'ga', 'sih', 'ini', 'paling', 'bocor', 'maen', 'dipulau77']","['mantap', 'tidak', 'sih', 'ini', 'paling', 'bocor', 'maen', 'dipulau77']",mantap tidak sih ini paling bocor maen dipulau77,mantap sih bocor maen dipulau77,mantap sih bocor maen dipulau77
Semoga 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 selalu menjadi nomor satu!,1,semoga berkah99 selalu menjadi nomor satu,"['semoga', 'berkah99', 'selalu', 'menjadi', 'nomor', 'satu']","['semoga', 'berkah99', 'selalu', 'menjadi', 'nomor', 'satu']",semoga berkah99 selalu menjadi nomor satu,semoga berkah99 nomor,moga berkah99 nomor
"timing sempurna , pilihan slot . 𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 nggak mengecewakan",1,timing sempurna pilihan slot pluto 8 8 nggak mengecewakan,"['timing', 'sempurna', 'pilihan', 'slot', 'pluto', '8', '8', 'nggak', 'mengecewakan']","['timing', 'sempurna', 'pilihan', 'slot', 'pluto', '8', '8', 'tidak', 'mengecewakan']",timing sempurna pilihan slot pluto 8 8 tidak mengecewakan,timing sempurna pilihan slot pluto 8 8 mengecewakan,timing sempurna pilih slot pluto 8 8 kecewa
"ALEXIS-17☯ emang ga ada matinya, tiap hari makin rame aja",1,alexis 17 emang ga ada matinya tiap hari makin rame aja,"['alexis', '17', 'emang', 'ga', 'ada', 'matinya', 'tiap', 'hari', 'makin', 'rame', 'aja']","['alexis', '17', 'emang', 'tidak', 'ada', 'matinya', 'tiap', 'hari', 'makin', 'rame', 'aja']",alexis 17 emang tidak ada matinya tiap hari makin rame aja,alexis 17 emang matinya rame aja,alexis 17 emang mati rame aja
"Nih PULAUWIN nyebarnya kayak lagi promo gede-gedean, padahal gak keliatan iklannya.",1,nih pulauwin nyebarnya kayak lagi promo gede gedean padahal gak keliatan iklannya,"['nih', 'pulauwin', 'nyebarnya', 'kayak', 'lagi', 'promo', 'gede', 'gedean', 'padahal', 'gak', 'keliatan', 'iklannya']","['nih', 'pulauwin', 'nyebarnya', 'kayak', 'lagi', 'promo', 'gede', 'gedean', 'padahal', 'tidak', 'keliatan', 'iklannya']",nih pulauwin nyebarnya kayak lagi promo gede gedean padahal tidak keliatan iklannya,nih pulauwin nyebarnya kayak promo gede gedean keliatan iklannya,nih pulauwin nyebarnya kayak promo gede gede liat iklan
"jakpot bikin seru , 𝘋𝑂𝑅𝐴𝟽𝟩 !",1,jakpot bikin seru dora77,"['jakpot', 'bikin', 'seru', 'dora77']","['jakpot', 'bikin', 'seru', 'dora77']",jakpot bikin seru dora77,jakpot bikin seru dora77,jakpot bikin seru dora77
Tim ga pernah skip kalo ada pak hok 😂🖐,0,tim ga pernah skip kalo ada pak hok,"['tim', 'ga', 'pernah', 'skip', 'kalo', 'ada', 'pak', 'hok']","['tim', 'tidak', 'pernah', 'skip', 'kalo', 'ada', 'pak', 'hok']",tim tidak pernah skip kalo ada pak hok,tim skip kalo hok,tim skip kalo hok
Ga kebayang gmn ziko kalo ngemodif motor...di tunggu ya,0,ga kebayang gmn ziko kalo ngemodif motor di tunggu ya,"['ga', 'kebayang', 'gmn', 'ziko', 'kalo', 'ngemodif', 'motor', 'di', 'tunggu', 'ya']","['tidak', 'kebayang', 'gmn', 'ziko', 'kalo', 'ngemodif', 'motor', 'di', 'tunggu', 'ya']",tidak kebayang gmn ziko kalo ngemodif motor di tunggu ya,kebayang gmn ziko kalo ngemodif motor tunggu ya,bayang gmn ziko kalo ngemodif motor tunggu ya
Mobil ini terasa siap menghantam para pembalap liar🔥🔥🔥🔥🔥🔥,0,mobil ini terasa siap menghantam para pembalap liar,"['mobil', 'ini', 'terasa', 'siap', 'menghantam', 'para', 'pembalap', 'liar']","['mobil', 'ini', 'terasa', 'siap', 'menghantam', 'para', 'pembalap', 'liar']",mobil ini terasa siap menghantam para pembalap liar,mobil menghantam pembalap liar,mobil hantam balap liar
"rezeki 𝐴ея𝙊𝟪8-bikin hariku menyenangkan , thank you !",1,rezeki aeiao88 bikin hariku menyenangkan thank you,"['rezeki', 'aeiao88', 'bikin', 'hariku', 'menyenangkan', 'thank', 'you']","['rezeki', 'aeiao88', 'bikin', 'hariku', 'menyenangkan', 'thank', 'you']",rezeki aeiao88 bikin hariku menyenangkan thank you,rezeki aeiao88 bikin hariku menyenangkan thank,rezeki aeiao88 bikin hari senang thank
"sketer sering keluar, jepek terus jadinya",1,sketer sering keluar jepek terus jadinya,"['sketer', 'sering', 'keluar', 'jepek', 'terus', 'jadinya']","['sketer', 'sering', 'keluar', 'jepek', 'terus', 'jadinya']",sketer sering keluar jepek terus jadinya,sketer jepek,sketer jepek
Boleh banget tuh konten motor nya,0,boleh banget tuh konten motor nya,"['boleh', 'banget', 'tuh', 'konten', 'motor', 'nya']","['boleh', 'banget', 'tuh', 'konten', 'motor', 'nya']",boleh banget tuh konten motor nya,banget tuh konten motor nya,banget tuh konten motor nya
ini pasti bandanya web metrowin88,1,ini pasti bandanya web metrowin88,"['ini', 'pasti', 'bandanya', 'web', 'metrowin88']","['ini', 'pasti', 'bandanya', 'web', 'metrowin88']",ini pasti bandanya web metrowin88,bandanya web metrowin88,banda web metrowin88
Swert Bonanja bener-bener gacir banget,1,swert bonanja bener bener gacir banget,"['swert', 'bonanja', 'bener', 'bener', 'gacir', 'banget']","['swert', 'bonanja', 'bener', 'bener', 'gacir', 'banget']",swert bonanja bener bener gacir banget,swert bonanja bener bener gacir banget,swert bonanja bener bener gacir banget
jepey gmpng banget 𝐒𝐆𝐈𝟖𝟖,1,jepey gmpng banget sgi88,"['jepey', 'gmpng', 'banget', 'sgi88']","['jepey', 'gmpng', 'banget', 'sgi88']",jepey gmpng banget sgi88,jepey gmpng banget sgi88,jepey gmpng banget sgi88
macet mending turu,0,macet mending turu,"['macet', 'mending', 'turu']","['macet', 'mending', 'turu']",macet mending turu,macet mending turu,macet mending turu
Nganggur pres wapres,0,nganggur pres wapres,"['nganggur', 'pres', 'wapres']","['nganggur', 'pres', 'wapres']",nganggur pres wapres,nganggur pres wapres,nganggur pres wapres
VIP 500 RIBU,1,vip 5oo ribu,"['vip', '5oo', 'ribu']","['vip', '5oo', 'ribu']",vip 5oo ribu,vip 5oo ribu,vip 5oo ribu
"Bisa di retur gak 
Krn lupa gak di cek dulu kata58%",0,bisa di retur gak krn lupa gak di cek dulu kata58,"['bisa', 'di', 'retur', 'gak', 'krn', 'lupa', 'gak', 'di', 'cek', 'dulu', 'kata58']","['bisa', 'di', 'retur', 'tidak', 'krn', 'lupa', 'tidak', 'di', 'cek', 'dulu', 'kata58']",bisa di retur tidak krn lupa tidak di cek dulu kata58,retur krn lupa cek kata58,retur krn lupa cek kata58
GAK SERU SAMA SEKALI,0,gak seru sama sekali,"['gak', 'seru', 'sama', 'sekali']","['tidak', 'seru', 'sama', 'sekali']",tidak seru sama sekali,seru,seru
"tipikal orang jaman dulu yg suka mendongeng, persis mbahku",0,tipikal orang jaman dulu yg suka mendongeng persis mbahku,"['tipikal', 'orang', 'jaman', 'dulu', 'yg', 'suka', 'mendongeng', 'persis', 'mbahku']","['tipikal', 'orang', 'jaman', 'dulu', 'yg', 'suka', 'mendongeng', 'persis', 'mbahku']",tipikal orang jaman dulu yg suka mendongeng persis mbahku,tipikal orang jaman yg suka mendongeng persis mbahku,tipikal orang jaman yg suka dongeng persis mbah
"buset videonya sih gokil , 𝘼𝙇𝙀𝙓𝙄𝙎17",1,buset videonya sih gokil alexis17,"['buset', 'videonya', 'sih', 'gokil', 'alexis17']","['buset', 'videonya', 'sih', 'gokil', 'alexis17']",buset videonya sih gokil alexis17,buset videonya sih gokil alexis17,buset video sih gokil alexis17
17:09 Pas banget buat FYP! 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵,1,17 o9 pas banget buat fyp berkah99,"['17', 'o9', 'pas', 'banget', 'buat', 'fyp', 'berkah99']","['17', 'o9', 'pas', 'banget', 'buat', 'fyp', 'berkah99']",17 o9 pas banget buat fyp berkah99,17 o9 pas banget fyp berkah99,17 o9 pas banget fyp berkah99
"kemenangan valid , settingan . 𝗣 𝗟 𝗨 𝗧 𝗢 𝟴 𝟴 emang gacor",1,kemenangan valid settingan pluto 8 8 emang gacor,"['kemenangan', 'valid', 'settingan', 'pluto', '8', '8', 'emang', 'gacor']","['kemenangan', 'valid', 'settingan', 'pluto', '8', '8', 'emang', 'gacor']",kemenangan valid settingan pluto 8 8 emang gacor,kemenangan valid settingan pluto 8 8 emang gacor,menang valid settingan pluto 8 8 emang gacor
Siuuuuuuuu,0,siuuuuuuuu,['siuuuuuuuu'],['siuuuuuuuu'],siuuuuuuuu,siuuuuuuuu,siuuuuuuuu
"rezeki nggak kemana , makasih alexis17 !",1,rezeki nggak kemana makasih alexis17,"['rezeki', 'nggak', 'kemana', 'makasih', 'alexis17']","['rezeki', 'tidak', 'kemana', 'makasih', 'alexis17']",rezeki tidak kemana makasih alexis17,rezeki kemana makasih alexis17,rezeki mana makasih alexis17
Boleh ni konten motor,0,boleh ni konten motor,"['boleh', 'ni', 'konten', 'motor']","['boleh', 'ni', 'konten', 'motor']",boleh ni konten motor,ni konten motor,ni konten motor
"bro sibuk sih ? alexis17 , bagi-bagi bonus deposit jumbo nih",1,bro sibuk sih alexis17 bagi bagi bonus deposit jumbo nih,"['bro', 'sibuk', 'sih', 'alexis17', 'bagi', 'bagi', 'bonus', 'deposit', 'jumbo', 'nih']","['bro', 'sibuk', 'sih', 'alexis17', 'bagi', 'bagi', 'bonus', 'deposit', 'jumbo', 'nih']",bro sibuk sih alexis17 bagi bagi bonus deposit jumbo nih,bro sibuk sih alexis17 bonus deposit jumbo nih,bro sibuk sih alexis17 bonus deposit jumbo nih
KPK menonton 🫣,0,kpk menonton,"['kpk', 'menonton']","['kpk', 'menonton']",kpk menonton,kpk menonton,kpk tonton
⭐️𝑰𝑺𝑻𝑨𝑵𝑨𝑩𝑬𝑻17⭐️ tuh udah kayak brand premium,1,istanabet17 tuh udah kayak brand premium,"['istanabet17', 'tuh', 'udah', 'kayak', 'brand', 'premium']","['istanabet17', 'tuh', 'sudah', 'kayak', 'brand', 'premium']",istanabet17 tuh sudah kayak brand premium,istanabet17 tuh kayak brand premium,istanabet17 tuh kayak brand premium
Gue rela gak tidur demi ngikutin update terbaru ALEXIS⭐17⭐.,1,gue rela gak tidur demi ngikutin update terbaru alexis17,"['gue', 'rela', 'gak', 'tidur', 'demi', 'ngikutin', 'update', 'terbaru', 'alexis17']","['saya', 'rela', 'tidak', 'tidur', 'demi', 'ngikutin', 'update', 'terbaru', 'alexis17']",saya rela tidak tidur demi ngikutin update terbaru alexis17,rela tidur ngikutin update terbaru alexis17,rela tidur ngikutin update baru alexis17
cair kakak mantap banget cuan 𝗦𝗚𝗜𝟴𝟴,1,cair kakak mantap banget cuan sgi88,"['cair', 'kakak', 'mantap', 'banget', 'cuan', 'sgi88']","['cair', 'kakak', 'mantap', 'banget', 'cuan', 'sgi88']",cair kakak mantap banget cuan sgi88,cair kakak mantap banget cuan sgi88,cair kakak mantap banget cuan sgi88
Lcgc nangis....😂😂😂,0,lcgc nangis,"['lcgc', 'nangis']","['lcgc', 'nangis']",lcgc nangis,lcgc nangis,lcgc nang
bukan 768 ya..268,0,bukan 768 ya 268,"['bukan', '768', 'ya', '268']","['bukan', '768', 'ya', '268']",bukan 768 ya 268,768 ya 268,768 ya 268
keren bgt gebrakan e kraton i mesti apikkk je dari thun ke tahun ada aja idenya,0,keren bgt gebrakan e kraton i mesti apikkk je dari thun ke tahun ada aja idenya,"['keren', 'bgt', 'gebrakan', 'e', 'kraton', 'i', 'mesti', 'apikkk', 'je', 'dari', 'thun', 'ke', 'tahun', 'ada', 'aja', 'idenya']","['keren', 'bgt', 'gebrakan', 'e', 'kraton', 'i', 'mesti', 'apikkk', 'je', 'dari', 'thun', 'ke', 'tahun', 'ada', 'aja', 'idenya']",keren bgt gebrakan e kraton i mesti apikkk je dari thun ke tahun ada aja idenya,keren bgt gebrakan e kraton mesti apikkk je thun aja idenya,keren bgt gebrak e kraton mesti apikkk je thun aja ide
boleh tu bang ziko modif motor 9:26,0,boleh tu bang ziko modif motor 9 26,"['boleh', 'tu', 'bang', 'ziko', 'modif', 'motor', '9', '26']","['boleh', 'tu', 'bang', 'ziko', 'modif', 'motor', '9', '26']",boleh tu bang ziko modif motor 9 26,tu bang ziko modif motor 9 26,tu bang ziko modif motor 9 26
Gokil! ⚡ALEXIS17⚡ bikin hariku lebih berwarna!,1,gokil alexis17 bikin hariku lebih berwarna,"['gokil', 'alexis17', 'bikin', 'hariku', 'lebih', 'berwarna']","['gokil', 'alexis17', 'bikin', 'hariku', 'lebih', 'berwarna']",gokil alexis17 bikin hariku lebih berwarna,gokil alexis17 bikin hariku berwarna,gokil alexis17 bikin hari warna
kebangkitan cuan 𝗦𝗚𝗜𝟴𝟴,1,kebangkitan cuan sgi88,"['kebangkitan', 'cuan', 'sgi88']","['kebangkitan', 'cuan', 'sgi88']",kebangkitan cuan sgi88,kebangkitan cuan sgi88,bangkit cuan sgi88
"𝘋о𝐑𝘼 𝟳7 bikin ketagihan , pengen main !",1,dora 77 bikin ketagihan pengen main,"['dora', '77', 'bikin', 'ketagihan', 'pengen', 'main']","['dora', '77', 'bikin', 'ketagihan', 'ingin', 'main']",dora 77 bikin ketagihan ingin main,dora 77 bikin ketagihan main,dora 77 bikin tagih main
"sri sultan ora soyo sepuh, rumangsaku ngono ngono wae",0,sri sultan ora soyo sepuh rumangsaku ngono ngono wae,"['sri', 'sultan', 'ora', 'soyo', 'sepuh', 'rumangsaku', 'ngono', 'ngono', 'wae']","['sri', 'sultan', 'ora', 'soyo', 'sepuh', 'rumangsaku', 'ngono', 'ngono', 'wae']",sri sultan ora soyo sepuh rumangsaku ngono ngono wae,sri sultan ora soyo sepuh rumangsaku ngono ngono wae,sri sultan ora soyo sepuh rumangsaku ngono ngono wae
rezeki gak putusnya makasi alexis17,1,rezeki gak putusnya makasi alexis17,"['rezeki', 'gak', 'putusnya', 'makasi', 'alexis17']","['rezeki', 'tidak', 'putusnya', 'makasi', 'alexis17']",rezeki tidak putusnya makasi alexis17,rezeki putusnya makasi alexis17,rezeki putus makas alexis17
yahh sayang lagi gak di Jogja 😭😭,0,yahh sayang lagi gak di jogja,"['yahh', 'sayang', 'lagi', 'gak', 'di', 'jogja']","['yahh', 'sayang', 'lagi', 'tidak', 'di', 'jogja']",yahh sayang lagi tidak di jogja,yahh sayang jogja,yahh sayang jogja
𝘋OR𝘈7𝟽 adalah platform yang terus berkembang dan berinovasi.,1,dora77 adalah platform yang terus berkembang dan berinovasi,"['dora77', 'adalah', 'platform', 'yang', 'terus', 'berkembang', 'dan', 'berinovasi']","['dora77', 'adalah', 'platform', 'yang', 'terus', 'berkembang', 'dan', 'berinovasi']",dora77 adalah platform yang terus berkembang dan berinovasi,dora77 platform berkembang berinovasi,dora77 platform kembang inovasi
"𝘼𝙇𝙀𝙓𝙄𝙎17 emang daun banget , gila sih . sih ?",1,alexis17 emang daun banget gila sih sih,"['alexis17', 'emang', 'daun', 'banget', 'gila', 'sih', 'sih']","['alexis17', 'emang', 'daun', 'banget', 'gila', 'sih', 'sih']",alexis17 emang daun banget gila sih sih,alexis17 emang daun banget gila sih sih,alexis17 emang daun banget gila sih sih
puma speedcat bikin ngiler,0,puma speedcat bikin ngiler,"['puma', 'speedcat', 'bikin', 'ngiler']","['puma', 'speedcat', 'bikin', 'ngiler']",puma speedcat bikin ngiler,puma speedcat bikin ngiler,puma speedcat bikin ngiler
Lek jersi njaluk sitok wong ngawi 😩😩😩😩😩🙏😭😭😭😭,0,lek jersi njaluk sitok wong ngawi,"['lek', 'jersi', 'njaluk', 'sitok', 'wong', 'ngawi']","['lek', 'jersi', 'njaluk', 'sitok', 'wong', 'ngawi']",lek jersi njaluk sitok wong ngawi,lek jersi njaluk sitok ngawi,lek jersi njaluk sitok ngawi
like dulu aja. mudah2an bisa beli Iphone 16 promax,0,like dulu aja mudah2an bisa beli iphone 16 promax,"['like', 'dulu', 'aja', 'mudah2an', 'bisa', 'beli', 'iphone', '16', 'promax']","['like', 'dulu', 'aja', 'mudah2an', 'bisa', 'beli', 'iphone', '16', 'promax']",like dulu aja mudah2an bisa beli iphone 16 promax,like aja mudah2an beli iphone 16 promax,like aja mudah2an beli iphone 16 promax
"Gacor pol, gampang banget buat wede",1,gacor pol gampang banget buat wede,"['gacor', 'pol', 'gampang', 'banget', 'buat', 'wede']","['gacor', 'pol', 'gampang', 'banget', 'buat', 'wede']",gacor pol gampang banget buat wede,gacor pol gampang banget wede,gacor pol gampang banget wede
"alexis17 , tuh emang bener-bener beda , sistemnya adil",1,alexis17 tuh emang bener bener beda sistemnya adil,"['alexis17', 'tuh', 'emang', 'bener', 'bener', 'beda', 'sistemnya', 'adil']","['alexis17', 'tuh', 'emang', 'bener', 'bener', 'beda', 'sistemnya', 'adil']",alexis17 tuh emang bener bener beda sistemnya adil,alexis17 tuh emang bener bener beda sistemnya adil,alexis17 tuh emang bener bener beda sistem adil
maaf 😆,0,maaf,['maaf'],['maaf'],maaf,maaf,maaf
selamat HUT YOGYAKARTA....semoga sukses lancar.. Amiinn...I LOVE Yogyakarta.. ❤️💛💙💜,0,selamat hut yogyakarta semoga sukses lancar amiinn i love yogyakarta,"['selamat', 'hut', 'yogyakarta', 'semoga', 'sukses', 'lancar', 'amiinn', 'i', 'love', 'yogyakarta']","['selamat', 'hut', 'yogyakarta', 'semoga', 'sukses', 'lancar', 'amiinn', 'i', 'love', 'yogyakarta']",selamat hut yogyakarta semoga sukses lancar amiinn i love yogyakarta,selamat hut yogyakarta semoga sukses lancar amiinn love yogyakarta,selamat hut yogyakarta moga sukses lancar amiinn love yogyakarta
absen dan like-nya yang udah beli ini hape. 👍,0,absen dan like nya yang udah beli ini hape,"['absen', 'dan', 'like', 'nya', 'yang', 'udah', 'beli', 'ini', 'hape']","['absen', 'dan', 'like', 'nya', 'yang', 'sudah', 'beli', 'ini', 'hape']",absen dan like nya yang sudah beli ini hape,absen like nya beli hape,absen like nya beli hape
"Bro ingin menjadi qarun jilid kedua🗿miskin dan kaya itu adalah takdir, bukan berarti org miskin itu tidak ikhtiar dan usaha, mau bagaimanapun usaha mu klo kau ditakdirkan untuk miskin ya tetap miskin dan juga sebaliknya, akan tetapi mintalah untuk kecukupan(rasa syukur) karna bnyak org kaya namun tidak ada rasa syukur.",1,bro ingin menjadi qarun jilid keduamiskin dan kaya itu adalah takdir bukan berarti org miskin itu tidak ikhtiar dan usaha mau bagaimanapun usaha mu klo kau ditakdirkan untuk miskin ya tetap miskin dan juga sebaliknya akan tetapi mintalah untuk kecukupan rasa syukur karna bnyak org kaya namun tidak ada rasa syukur,"['bro', 'ingin', 'menjadi', 'qarun', 'jilid', 'keduamiskin', 'dan', 'kaya', 'itu', 'adalah', 'takdir', 'bukan', 'berarti', 'org', 'miskin', 'itu', 'tidak', 'ikhtiar', 'dan', 'usaha', 'mau', 'bagaimanapun', 'usaha', 'mu', 'klo', 'kau', 'ditakdirkan', 'untuk', 'miskin', 'ya', 'tetap', 'miskin', 'dan', 'juga', 'sebaliknya', 'akan', 'tetapi', 'mintalah', 'untuk', 'kecukupan', 'rasa', 'syukur', 'karna', 'bnyak', 'org', 'kaya', 'namun', 'tidak', 'ada', 'rasa', 'syukur']","['bro', 'ingin', 'menjadi', 'qarun', 'jilid', 'keduamiskin', 'dan', 'kaya', 'itu', 'adalah', 'takdir', 'bukan', 'berarti', 'orang', 'miskin', 'itu', 'tidak', 'ikhtiar', 'dan', 'usaha', 'mau', 'bagaimanapun', 'usaha', 'mu', 'kalau', 'kamu', 'ditakdirkan', 'untuk', 'miskin', 'ya', 'tetap', 'miskin', 'dan', 'juga', 'sebaliknya', 'akan', 'tetapi', 'mintalah', 'untuk', 'kecukupan', 'rasa', 'syukur', 'karna', 'bnyak', 'orang', 'kaya', 'namun', 'tidak', 'ada', 'rasa', 'syukur']",bro ingin menjadi qarun jilid keduamiskin dan kaya itu adalah takdir bukan berarti orang miskin itu tidak ikhtiar dan usaha mau bagaimanapun usaha mu kalau kamu ditakdirkan untuk miskin ya tetap miskin dan juga sebaliknya akan tetapi mintalah untuk kecukupan rasa syukur karna bnyak orang kaya namun tidak ada rasa syukur,bro qarun jilid keduamiskin kaya takdir orang miskin ikhtiar usaha usaha mu ditakdirkan miskin ya miskin mintalah kecukupan syukur karna bnyak orang kaya syukur,bro qarun jilid keduamiskin kaya takdir orang miskin ikhtiar usaha usaha mu takdir miskin ya miskin minta cukup syukur karna bnyak orang kaya syukur
tunggu tunggu salam jepe 𝐒𝐆𝐈𝟖𝟖,1,tunggu tunggu salam jepe sgi88,"['tunggu', 'tunggu', 'salam', 'jepe', 'sgi88']","['tunggu', 'tunggu', 'salam', 'jepe', 'sgi88']",tunggu tunggu salam jepe sgi88,tunggu tunggu salam jepe sgi88,tunggu tunggu salam jepe sgi88
